counter,date,time,date_time,total
61357029,2014-05-15,8:00:00 AM,2014-05-15T08:00:00Z,220
61357029,2014-05-15,9:00:00 AM,2014-05-15T09:00:00Z,221
61357029,2014-05-15,10:00:00 AM,2014-05-15T10:00:00Z,259
61357029,2014-05-15,11:00:00 AM,2014-05-15T11:00:00Z,269
61357029,2014-05-15,12:00:00 PM,2014-05-15T12:00:00Z,246
61357029,2014-05-15,1:00:00 PM,2014-05-15T13:00:00Z,262
61357029,2014-05-15,2:00:00 PM,2014-05-15T14:00:00Z,309
61357029,2014-05-15,3:00:00 PM,2014-05-15T15:00:00Z,309
61357029,2014-05-15,4:00:00 PM,2014-05-15T16:00:00Z,332
61357029,2014-05-15,5:00:00 PM,2014-05-15T17:00:00Z,302
61357029,2014-05-15,6:00:00 PM,2014-05-15T18:00:00Z,162
61357029,2014-05-15,7:00:00 PM,2014-05-15T19:00:00Z,112
61357029,2014-05-15,8:00:00 PM,2014-05-15T20:00:00Z,76
61357029,2014-05-15,9:00:00 PM,2014-05-15T21:00:00Z,61
61357029,2014-05-15,10:00:00 PM,2014-05-15T22:00:00Z,44
61357029,2014-05-15,11:00:00 PM,2014-05-15T23:00:00Z,19
61357029,2014-05-16,12:00:00 AM,2014-05-16T00:00:00Z,9
61357029,2014-05-16,1:00:00 AM,2014-05-16T01:00:00Z,7
61357029,2014-05-16,2:00:00 AM,2014-05-16T02:00:00Z,12
61357029,2014-05-16,3:00:00 AM,2014-05-16T03:00:00Z,15
61357029,2014-05-16,4:00:00 AM,2014-05-16T04:00:00Z,27
61357029,2014-05-16,5:00:00 AM,2014-05-16T05:00:00Z,87
61357029,2014-05-16,6:00:00 AM,2014-05-16T06:00:00Z,142
61357029,2014-05-16,7:00:00 AM,2014-05-16T07:00:00Z,230
61357029,2014-05-16,8:00:00 AM,2014-05-16T08:00:00Z,267
61357029,2014-05-16,9:00:00 AM,2014-05-16T09:00:00Z,285
61357029,2014-05-16,10:00:00 AM,2014-05-16T10:00:00Z,265
61357029,2014-05-16,11:00:00 AM,2014-05-16T11:00:00Z,305
61357029,2014-05-16,12:00:00 PM,2014-05-16T12:00:00Z,351
61357029,2014-05-16,1:00:00 PM,2014-05-16T13:00:00Z,294
61357029,2014-05-16,2:00:00 PM,2014-05-16T14:00:00Z,378
61357029,2014-05-16,3:00:00 PM,2014-05-16T15:00:00Z,350
61357029,2014-05-16,4:00:00 PM,2014-05-16T16:00:00Z,364
61357029,2014-05-16,5:00:00 PM,2014-05-16T17:00:00Z,305
61357029,2014-05-16,6:00:00 PM,2014-05-16T18:00:00Z,208
61357029,2014-05-16,7:00:00 PM,2014-05-16T19:00:00Z,132
61357029,2014-05-16,8:00:00 PM,2014-05-16T20:00:00Z,96
61357029,2014-05-16,9:00:00 PM,2014-05-16T21:00:00Z,85
