GDSNAME,STATION,AREA,PERIMETER,COUNTERS,COUNTERSI,COUNTER,TYPE,Group,TYPE1,Cycle,CNTRNUM,Town,Location,OBJECTID1,UNIQUEID,SRI,MPSTART,MPEND,STREET,TOWNID,TOWNDOT,SECTLENGT,FUNCTSYST,FUNCTSY_1,URBANID,URBANNAME,TIER,TIERDESCR,LCLEGEND,LEGISCLAS,WINTERMAI,SUMMERMAI,OWNERSHIP,OWNERSHIP,HPMSOWNER,HPMSOWN_1,PLOWLEVEL,SURFTYPE,ROADWAYWI,NUMLANES,LANEWIDTH,SHLDRTYPE,SHLDRTY_1,SHLDRWIDT,SHLDRWI_1,DIRECTION,ISTOLL,ISNHS,NHS,NHSDESCR,ISTRK_ROU,COUNTYID,COUNTYNAM,EXECCOUNC,EXECCOU_1,COUNTERID,AADTCURR_,AADT,ROUTEHIOR,STREETALI,NODE1,NODE2,HPMSFACIL,HPMSFAC_1,HPMSTHRU_,COMBNUMS
CNTR:343065,343065,0,0,3659,3659,82343065,82,2013,L4,3,82343065,NORTHFIELD,NH 132 (CONCORD RD) NORTH OF AYERS RD,0,57748,S0000132__,13.314,13.343,Concord Rd,343,NORTHFIELD,0.029,6,Minor Collector,0,NA,3,Regional Corridors,State,II,313,313,313,DISTRICT 3,1,State Highway Agency,4,Paved,32,2,10,Paved,Paved,6,6,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,82343065,2014,900,NH 132,NH 132,0010,0011,2,Two-way roadway,2,82343065
CNTR:401050,401050,0,0,3664,3664,62401050,62,0,NA,0,62401050,NA,NA,0,93716,S0000127__,19.651,19.819,Salisbury Rd,163,FRANKLIN,0.168,5,Major Collector,0,NA,3,Regional Corridors,State,II,211,211,211,DISTRICT 2,1,State Highway Agency,3,Paved,20,2,10,Unpaved,Unpaved,2,2,Two way,NO,NO,0,NA,NO,13,MERRIMACK,2,Dist 2 - Colin Van Ostern,62401050,2014,921,NH 127,NH 127,6132,0975,2,Two-way roadway,2,62401050
CNTR:025050,025050,0,0,3672,3672,62025050,62,2014,L5,1,62025050,BARNSTEAD,NH 28 (SUNCOOK VALLEY RD) SB-NB AT ALON TL,0,143588,S0000028__,58.577,58.713,Suncook Valley Rd,025,BARNSTEAD,0.136,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,315,315,315,DISTRICT 3,1,State Highway Agency,2,Paved,24,2,12,Unpaved,Unpaved,3,3,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,62025050,2014,6100,NH 28,NH 28,0951,6008,2,Two-way roadway,2,62025050
CNTR:025084,025084,0,0,3673,3673,82025084,82,2014,L4,1,82025084,BARNSTEAD,NARROWS RD OVER SUNCOOK LAKE CHANNEL,0,143802,L0250072__,1.626,1.879,Narrows Rd,025,BARNSTEAD,0.253,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Unpaved,18,2,9,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82025084,2014,280,NA,NA,0318,0295,2,Two-way roadway,2,82025084
CNTR:025022,025022,0,0,3674,3674,22025022,22,2015,L3,2,22025022,BARNSTEAD,NH 28 (SUNCOOK VALLEY RD) SOUTH OF OXBOW RD (SB-NB) (21025089-21025090),0,20718,S0000028__,54.949,55.9,Suncook Valley Rd,025,BARNSTEAD,0.951,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,315,315,315,DISTRICT 3,1,State Highway Agency,2,Paved,40,2,12,Paved,Paved,8,8,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,22025022,2014,8357,NH 28,NH 28,0081,0089,2,Two-way roadway,2,22025022
CNTR:025087,025087,0,0,3675,3675,82025087,82,2014,L4,1,82025087,BARNSTEAD,PEACHAM RD OVER WEBSTER STREAM,0,143614,L0250051__,0.599,0.659,Peacham Rd,025,BARNSTEAD,0.06,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,18,2,9,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82025087,2014,1300,NA,NA,0278,0097,2,Two-way roadway,2,82025087
CNTR:025088,025088,0,0,3676,3676,82025088,82,2014,L6,1,82025088,BARNSTEAD,WALKER RD NORTH OF VARNEY RD,0,52405,L0250052__,0.335,0.504,North Barnstead Rd,025,BARNSTEAD,0.169,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,18,2,9,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82025088,2014,700,NA,NA,0118,0860,2,Two-way roadway,2,82025088
CNTR:025085,025085,0,0,3677,3677,82025085,82,2014,L4,1,82025085,BARNSTEAD,OXBOW RD OVER SUNCOOK RIVER,0,79519,L0250110__,0.72,0.909,Oxbow Rd,025,BARNSTEAD,0.189,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82025085,2014,70,NA,NA,0958,0197,2,Two-way roadway,2,82025085
CNTR:025012,025012,0,0,3678,3678,82025012,82,0,NA,0,82025012,BARNSTEAD,NA,0,10245,S0000028__,57.166,57.646,Suncook Valley Rd,025,BARNSTEAD,0.48,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,315,315,315,DISTRICT 3,1,State Highway Agency,2,Paved,22,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,62025050,2014,6100,NH 28,NH 28,0091,0147,2,Two-way roadway,2,82025012
CNTR:171059,171059,0,0,3692,3692,82171059,82,2015,L4,2,82171059,GILMANTON,STAGE RD WEST OF BEAUTY HILL RD,0,58489,L1710077__,0,0.442,Beauty Hill Rd,171,GILMANTON,0.442,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Unpaved,10,1,10,None,None,0,0,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,NA,0,0,NA,NA,6020,0078,2,Two-way roadway,1,82171059
CNTR:171053,171053,0,0,3693,3693,82171053,82,2015,L6,2,82171053,GILMANTON,NH 107 (PROVINCE RD) AT BARNSTEAD TL,0,12182,S0000107__,51.634,51.751,Province Rd,171,GILMANTON,0.117,5,Major Collector,0,NA,3,Regional Corridors,State,II,316,316,316,DISTRICT 3,1,State Highway Agency,3,Paved,30,2,11,None,None,4,4,Two way,NO,NO,0,NA,NO,1,BELKNAP,2,Dist 2 - Colin Van Ostern,82171053,2014,1289,NH 107,NH 107,6022,0001,2,Two-way roadway,2,82171053
CNTR:015059,015059,0,0,3732,3732,82015059,82,2014,L4,1,82015059,ANDOVER,CILLEYVILLE RD OVER BLACKWATER RIVER,0,17175,L0150123__,0.558,0.655,Cilleyville Rd,015,ANDOVER,0.097,7,Local,0,NA,5,Local Roads,Local,V,TOWN,TOWN,TOWN,TOWN,3,Town or Township Highway Agency,0,Paved,22,2,11,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82015059,2014,190,NA,NA,0009,0195,2,Two-way roadway,2,82015059
CNTR:015056,015056,0,0,3733,3733,82015056,82,0,NA,0,82015056,ANDOVER,NA,0,28226,U0000004__,39.823,40.072,Main St,015,ANDOVER,0.249,4,Minor Arterial,0,NA,2,Statewide Corridors - Other,State,I,210,210,210,DISTRICT 2,1,State Highway Agency,2,Paved,24,2,12,Unpaved,Unpaved,2,2,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82015056,2014,4758,US 4,"NH 11,US 4",0021,0512,2,Two-way roadway,2,82015056
CNTR:015011,015011,0,0,3734,3734,82015011,82,0,NA,0,82015011,ANDOVER,NA,0,15418,S0000004A_,22.279,22.474,NH Route 4A,015,ANDOVER,0.195,5,Major Collector,0,NA,3,Regional Corridors,State,II,210,210,210,DISTRICT 2,1,State Highway Agency,3,Paved,24,2,12,None,None,0,0,Two way,NO,NO,0,NA,NO,13,MERRIMACK,1,Dist 1 - Joeseph D. Kenney,82483054,2014,470,NH 4A,NH 4A,0574,6029,2,Two-way roadway,2,82015011
